id,artwork_id,engraving_id
71860,230,4
71861,230,2
71862,230,3
71863,231,8
71864,231,15
71865,231,14
71866,231,2
71867,231,3
71868,231,17
71869,232,8
71870,232,9
71871,232,15
71872,232,4
71873,232,2
71874,232,3
71875,232,17
71876,233,8
71877,233,9
71878,233,15
71879,233,14
71880,233,11
71881,233,3
71882,233,17
71883,234,8
71884,234,9
71885,234,15
71886,234,14
71887,234,2
71888,234,3
71889,234,17
71890,235,8
71891,235,15
71892,235,14
71893,235,2
71894,235,3
71895,235,17
71896,236,8
71897,236,15
71898,236,14
71899,236,2
71900,236,3
71901,236,17
71902,237,8
71903,237,4
71904,237,2
71905,237,3
71906,237,17
72125,237,15
72126,238,8
72127,238,15
72128,238,4
72129,238,2
72130,238,11
72131,238,10
72132,238,3
72133,238,17
72134,238,13
71907,239,8
71908,239,9
71909,239,4
71910,239,2
71911,239,3
71912,239,17
71913,240,8
71914,240,15
71915,240,14
71916,240,2
71917,240,11
71918,240,10
71919,240,3
71920,240,17
72135,241,7
72136,241,8
72137,241,15
72138,241,14
72139,241,11
72140,241,10
72141,241,3
72142,241,17
72157,242,26
72158,242,7
72159,242,8
72160,242,15
72161,242,14
72162,242,2
72163,242,11
72164,242,10
72165,242,3
72166,242,17
41904,243,2
41905,243,4
41906,243,8
41907,243,16
41908,243,19
17973,244,2
17974,244,7
17975,244,8
17976,244,12
17977,244,14
17978,244,16
17979,244,17
41909,245,2
41910,245,4
41911,245,8
41912,245,16
41913,245,19
41914,246,2
41915,246,4
41916,246,8
41917,246,16
41918,246,19
41919,247,2
41920,247,4
41921,247,8
41922,247,16
41923,247,17
73281,248,26
73282,248,9
73283,248,15
73284,248,4
73285,248,3
73286,248,17
41924,249,2
41925,249,4
41926,249,5
41927,249,8
41928,249,16
41929,249,17
41930,250,2
41931,250,4
41932,250,5
41933,250,8
41934,250,16
41935,250,17
41936,251,2
41937,251,4
41938,251,5
41939,251,8
41940,251,16
41941,251,19
43461,252,3
43462,252,4
43463,252,8
43464,252,15
43465,252,19
41942,253,2
41943,253,4
41944,253,6
41945,253,8
41946,253,12
41947,253,17
41948,254,2
41949,254,4
41950,254,5
41951,254,6
41952,254,8
41953,254,12
41954,254,13
41955,254,16
41956,254,17
41957,255,2
41958,255,4
41959,255,6
41960,255,8
41961,255,12
41962,255,16
41963,255,17
41964,257,2
41965,257,4
41966,257,5
41967,257,6
41968,257,8
41969,257,12
41970,257,16
41971,257,17
41972,258,2
41973,258,4
41974,258,5
41975,258,6
41976,258,8
41977,258,12
41978,258,16
41979,258,17
41985,259,2
41986,259,4
41987,259,7
41988,259,8
41989,259,16
41990,259,17
41991,260,3
41992,260,4
41993,260,8
41994,260,16
41995,260,19
41996,261,2
41997,261,4
41998,261,7
41999,261,8
42000,261,16
42001,261,17
42002,262,2
42003,262,4
42004,262,7
42005,262,8
42006,262,16
42007,262,17
42008,263,2
42009,263,4
42010,263,8
42011,263,16
42012,263,17
47772,264,2
47773,264,6
47774,264,11
47775,264,12
47776,264,14
47777,264,15
47778,264,19
48038,264,8
48039,264,13
42013,265,3
42014,265,4
42015,265,8
42016,265,15
42017,265,19
42028,266,2
42029,266,4
42030,266,7
42031,266,8
42032,266,11
42033,266,12
42034,266,16
42035,266,17
6897,267,2
6898,267,4
6899,267,8
6900,267,9
6901,267,16
6902,267,17
42044,268,2
42045,268,4
42046,268,6
42047,268,7
42048,268,8
42049,268,12
42050,268,16
42051,268,19
42052,269,2
42053,269,4
42054,269,6
42055,269,7
42056,269,8
42057,269,12
42058,269,16
42059,269,17
42244,270,2
42245,270,4
42246,270,5
42247,270,8
42248,270,10
42249,270,16
42250,270,17
32894,271,2
32895,271,4
32896,271,8
32897,271,16
32898,271,17
42251,272,2
42252,272,4
42253,272,8
42254,272,10
42255,272,16
42256,272,17
42257,273,2
42258,273,4
42259,273,6
42260,273,9
42261,273,16
42262,273,17
64778,274,8
64779,274,15
64780,274,14
64781,274,2
64782,274,10
64783,274,19
64784,274,12
42263,275,2
42264,275,4
42265,275,8
42266,275,16
42267,275,19
42268,276,2
42269,276,4
42270,276,5
42271,276,8
42272,276,16
42273,276,17
42274,277,2
42275,277,4
42276,277,5
42277,277,8
42278,277,16
42279,277,19
17980,278,2
17981,278,8
17982,278,14
17983,278,15
17984,278,17
42280,279,2
42281,279,4
42282,279,5
42283,279,8
42284,279,10
42285,279,16
42286,279,19
42287,280,2
42288,280,4
