id,artwork_id,artwork_symbol_id,nombre,
87919,99,185,Manto,
133695,99,448,Clero,
133696,99,448,Clero,
133793,99,448,Clero,
19445,100,4,Alas,
19446,100,18,Arco y carcaj ,
111041,100,4,Alas,
114698,100,18,Arco y carcaj ,
51249,101,7,Altar,
51250,101,46,Copa / Cáliz ,
51251,101,273,Vela ,
51252,101,46,Copa / Cáliz ,
51254,101,177,Libro ,
51255,101,273,Vela ,
87922,101,325,Halo de luz ,
87923,101,185,Manto,
87925,101,201,Nube,
111592,101,7,Altar,
51259,102,119,Escalera ,
51261,102,177,Libro ,
87927,102,7,Altar,
87928,102,185,Manto,
111593,102,7,Altar,
133697,102,448,Clero,
133698,102,448,Clero,
8771,103,4,Alas,
8773,103,185,Manto,
117711,103,404,Cielo / paraíso ,
51265,104,325,Halo de luz ,
87932,104,4,Alas,
87933,104,185,Manto,
87935,104,23,Aureola de rayos o luz ,
26367,105,23,Aureola de rayos o luz ,
26368,105,135,Estrella ,
26370,105,239,Rosario ,
118387,105,404,Cielo / paraíso ,
51268,106,177,Libro ,
51269,106,325,Halo de luz ,
87937,106,185,Manto,
51270,107,119,Escalera ,
51272,107,177,Libro ,
51273,107,325,Halo de luz ,
87940,107,22,Aureola ,
87941,107,185,Manto,
17813,108,23,Aureola de rayos o luz ,
110897,108,370,Estandarte ,
51279,109,177,Libro ,
87945,109,185,Manto,
6278,110,4,Alas,
6280,110,23,Aureola de rayos o luz ,
6281,110,185,Manto,
6282,110,325,Halo de luz ,
6283,110,201,Nube,
6284,110,210,Palma del martirio ,
6285,110,290,Rompimiento de gloria,
117607,110,404,Cielo / paraíso ,
51283,111,325,Halo de luz ,
51285,111,273,Vela ,
87947,111,4,Alas,
87948,111,61,Cayado / Bastón ,
87949,111,185,Manto,
87951,111,23,Aureola de rayos o luz ,
51287,112,61,Cayado / Bastón ,
51288,112,273,Vela ,
51291,112,273,Vela ,
87953,112,4,Alas,
87954,112,185,Manto,
24915,113,74,Ciudad ,
24916,113,135,Estrella ,
24917,113,119,Escalera ,
24918,113,127,Espejo,
24919,113,774,Fuente / pila ,
24920,113,183,Luna ,
24921,113,229,Pozo,
24922,113,201,Nube,
24923,113,164,Jardín ,
103115,113,22,Aureola ,
113392,113,14,Árbol ,
120586,113,164,Jardín ,
51292,114,22,Aureola ,
51293,114,23,Aureola de rayos o luz ,
51294,114,81,Columna ,
51296,114,164,Jardín ,
51297,114,177,Libro ,
51298,114,325,Halo de luz ,
87964,114,185,Manto,
120635,114,164,Jardín ,
51344,115,6,Alma,
51346,115,23,Aureola de rayos o luz ,
51348,115,325,Halo de luz ,
51349,115,404,Cielo / paraíso ,
51351,115,588,Animas del purgatorio,
87969,115,4,Alas,
87970,115,22,Aureola ,
87971,115,149,Herida / llaga,
87972,115,185,Manto,
111359,115,6,Alma,
118660,115,404,Cielo / paraíso ,
59537,116,22,Aureola ,
59538,116,92,Corona,
59539,116,183,Luna ,
59540,116,210,Palma del martirio ,
118736,116,404,Cielo / paraíso ,
20337,117,74,Ciudad ,
20338,117,177,Libro ,
113290,117,14,Árbol ,
51352,118,23,Aureola de rayos o luz ,
51353,118,211,Paloma ,
51355,118,177,Libro ,
51357,118,201,Nube,
51358,118,404,Cielo / paraíso ,
87977,118,325,Halo de luz ,
87978,118,211,Paloma ,
87980,118,185,Manto,
87982,118,789,Silla / trono ,
85732,119,66,Cetro ,
85733,119,177,Libro ,
85734,119,193,Mitra episcopal,
74557,120,22,Aureola ,
51361,121,102,Cruz / crucifijo ,
51362,121,142,Flores ,
51363,121,177,Libro ,
51364,121,325,Halo de luz ,
51366,121,273,Vela ,
51367,121,201,Nube,
51368,121,404,Cielo / paraíso ,
88769,121,4,Alas,
88770,121,23,Aureola de rayos o luz ,
130738,122,411,Devoción,
51373,123,102,Cruz / crucifijo ,
51375,123,201,Nube,
51376,123,404,Cielo / paraíso ,
88771,123,4,Alas,
51380,124,102,Cruz / crucifijo ,
51381,124,177,Libro ,
51382,124,325,Halo de luz ,
51383,124,201,Nube,
51384,124,404,Cielo / paraíso ,
88773,124,185,Manto,
88777,124,185,Manto,
103379,125,135,Estrella ,
103380,125,142,Flores ,
103381,125,201,Nube,
103382,125,383,Rosas,
107387,125,142,Flores ,
64775,126,325,Halo de luz ,
64776,126,61,Cayado / Bastón ,
51386,127,23,Aureola de rayos o luz ,
51388,127,325,Halo de luz ,
51389,127,201,Nube,
88778,127,185,Manto,
23042,128,26,Azucenas,
23043,128,50,Canasta ,
23044,128,97,Cortinas ,
23048,128,287,Vasija ,
106218,128,142,Flores ,
116642,128,50,Canasta ,
27298,129,142,Flores ,
27299,129,325,Halo de luz ,
106258,129,142,Flores ,
113421,129,14,Árbol ,
123695,129,200,Niños,
132395,129,779,Sacerdote,
133828,129,638,Templo ,
74478,130,211,Paloma ,
106980,130,142,Flores ,
73050,131,556,Bastón florido ,
132853,131,779,Sacerdote,
104584,132,41,Burro / Asno ,
72782,132,22,Aureola ,
72783,132,41,Burro / Asno ,
78159,133,4,Alas,
78160,133,41,Burro / Asno ,
78161,133,22,Aureola ,
78162,133,50,Canasta ,
78163,133,365,Frutas / verduras,
78165,133,325,Halo de luz ,
78166,133,556,Bastón florido ,
78168,133,185,Manto,
112856,133,213,Pastor,
114686,133,18,Arco y carcaj ,
125509,133,206,Oveja,
67471,134,22,Aureola ,
67472,134,44,Cadena,
67473,134,119,Escalera ,
67475,134,185,Manto,
67477,134,457,Ofrenda,
67479,134,54,Capa ,
67482,134,185,Manto,
67483,134,664,Oro,
67484,134,665,Mirra,
98333,135,427,Manzana ,
134431,135,12,Animales,
134885,135,365,Frutas / verduras,
735,136,126,Espada flamigera,
3197,136,4,Alas,
3199,136,113,Demonio ,
3201,136,325,Halo de luz ,
3202,136,200,Niños,
3203,136,124,Esfera / mundo ,
3204,136,232,Rayo / trueno ,
113055,136,14,Árbol ,
115913,136,38,Bosque,
123439,136,200,Niños,
130149,136,113,Demonio ,
104477,137,41,Burro / Asno ,
35539,137,2,Agua,
35540,137,4,Alas,
35541,137,14,Árbol ,
35542,137,41,Burro / Asno ,
35543,137,61,Cayado / Bastón ,
35544,137,42,Caballo,
35545,137,185,Manto,
35549,137,325,Halo de luz ,
35553,137,208,Pájaro / aves ,
66779,138,177,Libro ,
66780,138,290,Rompimiento de gloria,
53922,139,273,Vela ,
53923,139,102,Cruz / crucifijo ,
53924,139,325,Halo de luz ,
53925,139,404,Cielo / paraíso ,
118689,139,404,Cielo / paraíso ,
59541,140,22,Aureola ,
59542,140,142,Flores ,
59543,140,178,Lirio,
59544,140,649,Sepulcro / muerte ,
