id,Info_categorias,Autores,Simbolos,Descriptores,Gesto Lista,Categoria 1,Categoria 2,Categoria 3,Categoria 4,Categoria 5,Ciudad Origen,Ciudad Actual,Pais Origen,Pais Actual,Ubicacion,Relato_visual_lista,Fuente Imagen,Tecnica,Donante,Escenario,Cartela Filacteria,Fuente Iconografica,Biografia,Tipo Historia,Categoria 6
660,,,,Astrolabio,,Retrato laicos con Libro,Retrato laicos con Libro,Retrato laicos con Libro,Retrato laicos con Libro,Retrato laicos con Libro,Transilvania,Transilvania,,,Santuario de la congregación de Nuestra Señora de Guadalupe (Querétaro),,,,,,,,,,Retrato laicos con Libro
661,,Laureano Dávila,,Compás,,Laicos con libro y documentos,Laicos con libro y documentos,Laicos con libro y documentos,Laicos con libro y documentos,Laicos con libro y documentos,Sora,Sora,,,Museo de Arte sacro (Cuernavaca),,,,,,,,,,Laicos con libro y documentos
662,"Benito Abad, san",Laureano de Barreda,,Regla,,Laicos mano al pecho,Laicos mano al pecho,Laicos mano al pecho,Laicos mano al pecho,Laicos mano al pecho,Trinidad (Cuba),Trinidad (Cuba),,,Museo de Arte religioso (Cuenca),,,,,,,,,,Laicos mano al pecho
663,Tomás Apóstol,Laurent Dabos,,,,Laico objetos y oficios,Laico objetos y oficios,Laico objetos y oficios,Laico objetos y oficios,Laico objetos y oficios,Cuenca (Ecuador),Cuenca (Ecuador),,,Fundación Televisa (CdMx),,,,,,,,,,Laico objetos y oficios
664,"Marcos, san",Lawrence Sully,Oro,,,Laico sin símbolos y actitud corporal,Laico sin símbolos y actitud corporal,Laico sin símbolos y actitud corporal,Laico sin símbolos y actitud corporal,Laico sin símbolos y actitud corporal,Pomata,Pomata,,,"Colección Marques de Balbases (CdMx, México)",,,,,,,,,,Laico sin símbolos y actitud corporal
665,"Cristóbal, san",,Mirra,,,Laico Reloj,Laico Reloj,Laico Reloj,Laico Reloj,Laico Reloj,Andamarca,Andamarca,,,"Wadsworth Atheneum Museum of Art (Hartford, CT)",,,,,,,,,,Laico Reloj
666,,,,,,Laico hombres sentados,Laico hombres sentados,Laico hombres sentados,Laico hombres sentados,Laico hombres sentados,Achocalla,Achocalla,,,Colegio de las Vizcainas (CdMx),,,,,,,,,,Laico hombres sentados
667,"Francisco de Paula, san",Lázaro Pardo de Lagos,,,,Santas Fundadoras de órdenes,Santas Fundadoras de órdenes,Santas Fundadoras de órdenes,Santas Fundadoras de órdenes,Santas Fundadoras de órdenes,Litchfield,Litchfield,,,Tesoro dei Granduchi (Florencia),,,,,,,,,,Santas Fundadoras de órdenes
668,"Juan de Dios, san",,,Alacena,,Teresa,Teresa,Teresa,Teresa,Teresa,Rhode Island,Rhode Island,,,Iglesia Nuestra señora del Pilar (Buenos Aires),,,,,,,,,,Teresa
669,"Juan de Sahagún, san",Leonardo Flores,,Platos,,Atributos de la santa,Atributos de la santa,Atributos de la santa,Atributos de la santa,Atributos de la santa,Portsmouth,Portsmouth,,,"Colección Josefina Muriel de González Mariscal (CdMx, México)",,,,,,,,,,Atributos de la santa
670,,,,,,Escenas de vida,Escenas de vida,Escenas de vida,Escenas de vida,Escenas de vida,Tecozautla,Tecozautla,,,Convento Santo Domingo (Quito),,,,,,,,,,Escenas de vida
671,"Basilio Magno o Grande, san",Lewis Aubineau,,,,Series teresianas,Series teresianas,Series teresianas,Series teresianas,Series teresianas,Barquisimeto,Barquisimeto,,,Hospital Eugenio Espino (Quito),,,,,,,,,,Series teresianas
672,,Lewis Peckham,,Menorá,,Transverberación,Transverberación,Transverberación,Transverberación,Transverberación,Valencia (Vn),Valencia (Vn),,,Iglesia de la Merced (Esquipulas),,,,,,,,,,Transverberación
673,"Bruno, san",Liborio Lázaro Lial,,,,Visiones de Teresa,Visiones de Teresa,Visiones de Teresa,Visiones de Teresa,Visiones de Teresa,San Antonio Copayacuar,San Antonio Copayacuar,,,Museo de la ciudad (Quito),,,,,,,,,,Visiones de Teresa
674,"Buenaventura, san",Lorenzo de Leyba,,,,Clara de Asís,Clara de Asís,Clara de Asís,Clara de Asís,Clara de Asís,Santa Cruz de Tenerife,Santa Cruz de Tenerife,,,Iglesia Nuestra Señora de las Nieves (Bogotá),,,,,,,,,,Clara de Asís
675,Fulgencio de Ruste,Lorenzo de Ponte,,Musulmán,,Inés de Montepulciano,Inés de Montepulciano,Inés de Montepulciano,Inés de Montepulciano,Inés de Montepulciano,Carora,Carora,,,Iglesia Nuestra Señora de las Nieves (Tunja),,,,,,,,,,Inés de Montepulciano
676,,Lorenzo de Poveda,Capa real o de armiño,,,Atributos de Rosa de Lima,Atributos de Rosa de Lima,Atributos de Rosa de Lima,Atributos de Rosa de Lima,Atributos de Rosa de Lima,Táchira,Táchira,,,"Iglesia Virgen de las Nieves (Sangarará, Perú)",,,,,,,,,,Atributos de Rosa de Lima
677,"Pedro Apóstol, san",Lorenzo de Villa,,,,Series de Rosa de Lima,Series de Rosa de Lima,Series de Rosa de Lima,Series de Rosa de Lima,Series de Rosa de Lima,San Felipe,San Felipe,,,"Museo de Arte (MASP, São Paulo)",,,,,,,,,,Series de Rosa de Lima
678,"Nicolás de Mira o Bari, san",Lorenzo Sánchez de Medina,,Flechas,,Clara atributos,Clara atributos,Clara atributos,Clara atributos,Clara atributos,Chilpancingo de los Bravo,Chilpancingo de los Bravo,,,Igreja Nossa Senhora de las Nieves (Olinda),,,,,,,,,,Clara atributos
679,Nicolas de Tolentino,Lorenzo Tiburcio de León,,Órgano,,Mateo,Mateo,Mateo,Mateo,Mateo,Yuriria,Yuriria,,,Convento de la buena muerte (Lima),,,,,,,,,,Mateo
680,,Lorenzo Zendejas,,,,Marcos,Marcos,Marcos,Marcos,Marcos,Colima,Colima,,,Mosteiro São Bento (Rio de Janeiro),,,,,,,,,,Marcos
681,,Louis Antoine Collas,,,,Lucas,Lucas,Lucas,Lucas,Lucas,Oxolotán,Oxolotán,,,Casa de la Libertad (Sucre),,,,,,,,,,Lucas
682,,Louisa C. Strobel,,,,Juan,Juan,Juan,Juan,Juan,Dolores,Dolores,,,Mosteiro São Bento (Sao Paulo),,,,,,,,,,Juan
683,,Samuel King,,Ninfa(s),,Padres del desierto,Padres del desierto,Padres del desierto,Padres del desierto,Padres del desierto,Acapulco,Acapulco,,,"Colección Machado Gómez (Caracas, Venezuela)",,,,,,,,,,Padres del desierto
684,,Luca Cambiasso,,,,Evangelistas en conjunto,Evangelistas en conjunto,Evangelistas en conjunto,Evangelistas en conjunto,Evangelistas en conjunto,Montevideo,Montevideo,,,Mosteiro São Bento (Olinda),,,,,,,,,,Evangelistas en conjunto
685,,Lucas Rodríguez,,,,Padres de la Iglesia,Padres de la Iglesia,Padres de la Iglesia,Padres de la Iglesia,Padres de la Iglesia,Angahuan,Angahuan,,,"Iglesia San Bartolomé (Carabuco, Bolivia)",,,,,,,,,,Padres de la Iglesia
686,Clara de Asís,Luis Berger,,Madera,,Otros santos Iglesia Primitiva,Otros santos Iglesia Primitiva,Otros santos Iglesia Primitiva,Otros santos Iglesia Primitiva,Otros santos Iglesia Primitiva,Nurio,Nurio,,,"Mosteiro São Bento (Salvador, Bahía)",,,,,,,,,,Otros santos Iglesia Primitiva
687,"Bartolomé, San",Luis Berrueco,,,,Santos varios agustinos,Santos varios agustinos,Santos varios agustinos,Santos varios agustinos,Santos varios agustinos,,,,,Iglesia Nuestra Señora del Refugio (Puebla),,,,,,,,,,Santos varios agustinos
688,,,,,,Dimas,Dimas,Dimas,Dimas,Dimas,,,,,Colegio de San Calixto (La Paz),,,,,,,,,,Dimas
689,,Luis Correa,,,,Agustín,Agustín,Agustín,Agustín,Agustín,,,,,Palacio arzobispal (Quito),,,,,,,,,,Agustín
690,,Luis de Carvajal,Descalzo,,,Anselmo,Anselmo,Anselmo,Anselmo,Anselmo,,,,,"Colección Bill Morgenstern (Miami, Estados Unidos)",,,,,,,,,,Anselmo
691,Martín de Porres,Luis de la Vega Lagarto,,,,Ambrosio,Ambrosio,Ambrosio,Ambrosio,Ambrosio,,,,,"Colección John and Cari Shurman (Miami, Estados Unidos)",,,,,,,,,,Ambrosio
692,,Luis de Mena,,,,Basilio,Basilio,Basilio,Basilio,Basilio,,,,,Collection of Svetlana (Montecarlo),,,,,,,,,,Basilio
693,,Luís de Oviedo,,Peces ,,Cirilio,Cirilio,Cirilio,Cirilio,Cirilio,,,,,Iglesia Divino salvador (Bogotá),,,,,,,,,,Cirilio
694,,Luis de Riaño,,Carne,,Santos varios carmelitas,Santos varios carmelitas,Santos varios carmelitas,Santos varios carmelitas,Santos varios carmelitas,,,,,"Colección Luis T. Campos (Texas, Estados Unidos)",,,,,,,,,,Santos varios carmelitas
695,,Luis Francisco Maldonado,,,,Gregorio,Gregorio,Gregorio,Gregorio,Gregorio,,,,,"Colección BBVA (Potosí, Bolivia)",,,,,,,,,,Gregorio
696,,Luis García Hevia,,Piano,,Jerónimo,Jerónimo,Jerónimo,Jerónimo,Jerónimo,,,,,Iglesia de Italaque (Bolivia),,,,,,,,,,Jerónimo
697,,Luis Juárez,,Violín,,Doctores de la Iglesia conjunto y otros,Doctores de la Iglesia conjunto y otros,Doctores de la Iglesia conjunto y otros,Doctores de la Iglesia conjunto y otros,Doctores de la Iglesia conjunto y otros,,,,,Iglesia y convento san Francisco (la Paz),,,,,,,,,,Doctores de la Iglesia conjunto y otros
698,"Simón, Apóstol ",Luis Lagarto,,,,Atributos Agustinos,Atributos Agustinos,Atributos Agustinos,Atributos Agustinos,Atributos Agustinos,,,,,Iglesia de Jerusalén (Potosí),,,,,,,,,,Atributos Agustinos
699,,Luis Morales,Aura,,,Series Agustinas,Series Agustinas,Series Agustinas,Series Agustinas,Series Agustinas,,,,,Iglesia El Salvador (San Salvador el verde),,,,,,,,,,Series Agustinas
700,"Santiago el Mayor, Apóstol",Luis Niño,,,,Antonio,Antonio,Antonio,Antonio,Antonio,,,,,Iglesia san Barnabas Reina Ana Parish (Leeland),,,,,,,,,,Antonio
701,,Luke Sullivan,,,,Onofre,Onofre,Onofre,Onofre,Onofre,,,,,Iglesia santa Bárbara (Ilave),,,,,,,,,,Onofre
702,, MacKay,,,,Pablo ermitaño,Pablo ermitaño,Pablo ermitaño,Pablo ermitaño,Pablo ermitaño,,,,,Museo Diocesano de Coro Lucas Guillermo Castillo (Coro),,,,,,,,,,Pablo ermitaño
703,,Magdalena Ventura del Smo. Sacramento,,,,Anacoretas y ermitaños,Anacoretas y ermitaños,Anacoretas y ermitaños,Anacoretas y ermitaños,Anacoretas y ermitaños,,,,,Iglesia la Merced (Lima),,,,,,,,,,Anacoretas y ermitaños
704,Dimas,Manoel Antônio da Fonseca,Infierno,Barril,,Andrés,Andrés,Andrés,Andrés,Andrés,,,,,Catedral Metropolitana de Quito (Quito),,,,,,,,,,Andrés
705,,,Imposición de mano,Botella,,Bartolomé,Bartolomé,Bartolomé,Bartolomé,Bartolomé,,,,,Hotel Convento (Cuzco),,,,,,,,,,Bartolomé
706,,Manoel Dias de Oliveira,Enfermos / enfermedad ,Pinceles,,Felipe,Felipe,Felipe,Felipe,Felipe,,,,,"Colección Claudia Abad del Muro (Oaxaca, México)",,,,,,,,,,Felipe
707,,Manoel do Sacramento,,Cubiertos,,Judas Tadeo,Judas Tadeo,Judas Tadeo,Judas Tadeo,Judas Tadeo,,,,,Biblioteca Nacional Eugenio Espejo (Quito),,,,,,,,,,Judas Tadeo
708,Catalina de Bolonia,Manoel Rebelo e Souza,,Jarra,,Matías,Matías,Matías,Matías,Matías,,,,,Iglesia El Salvador (Pucyura),,,,,,,,,,Matías
709,Pedro Ortíz de Zárate,Manoel Víctor de Jesus,,Naranja ,,Apóstoles conjunto y no identificadios,Apóstoles conjunto y no identificadios,Apóstoles conjunto y no identificadios,Apóstoles conjunto y no identificadios,Apóstoles conjunto y no identificadios,,,,,Arzobispado de Puebla (Puebla),,,,,,,,,,Apóstoles conjunto y no identificadios
710,Arcángeles,Manuel Caro,,,,Pablo,Pablo,Pablo,Pablo,Pablo,,,,,"Iglesia santísimo Salvador (Salvador, Cuzco)",,,,,,,,,,Pablo
711,,Manuel Carreto,,,,Pedro,Pedro,Pedro,Pedro,Pedro,,,,,Convento Nuestra Señora de la Merced (CdMx),,,,,,,,,,Pedro
712,,,,,,Pablo y Pedro,Pablo y Pedro,Pablo y Pedro,Pablo y Pedro,Pablo y Pedro,,,,,Iglesia san Pedro Apóstol (Calca),,,,,,,,,,Pablo y Pedro
713,"Estanislao de Kotska, san",Manuel da Cunha,,,,Simón,Simón,Simón,Simón,Simón,,,,,Convento San Agustín (Villa de Leiva),,,,,,,,,,Simón
714,"Julián Obispo, san",Manuel de Arellano,,,,Tomás,Tomás,Tomás,Tomás,Tomás,,,,,Iglesia Señor del Santuario - Santuario Mapethé (Cardonal),,,,,,,,,,Tomás
715,,Manuel de Córdova,,Piña,,Santiago,Santiago,Santiago,Santiago,Santiago,,,,,"Moravian Historical Society (Nazareth, Pens)",,,,,,,,,,Santiago
716,,,,Cereza,,Atributos de Santiago,Atributos de Santiago,Atributos de Santiago,Atributos de Santiago,Atributos de Santiago,,,,,Oratorio san Felipe Neri (San Miguel de Allende),,,,,,,,,,Atributos de Santiago
717,,,,,,Alejo,Alejo,Alejo,Alejo,Alejo,,,,,Catedral santuario Nuestra señora de Altagracia (Higuey),,,,,,,,,,Alejo
718,,Manuel de la Serna,,Pañuelo blanco ,,Blas,Blas,Blas,Blas,Blas,,,,,Ayuntamiento Municipal (CdMx),,,,,,,,,,Blas
719,,Manuel de Samaniego,,,,Cosme y Damián,Cosme y Damián,Cosme y Damián,Cosme y Damián,Cosme y Damián,,,,,Iglesia san Pedro Apóstol (Pisaq),,,,,,,,,,Cosme y Damián
720,,Manuel de Sepúlveda,,Bodegón,,Crispín Crispino,Crispín Crispino,Crispín Crispino,Crispín Crispino,Crispín Crispino,,,,,Iglesia san Nicolás (Madrid),,,,,,,,,,Crispín Crispino
721,,Manuel Galicia,,,,Esteban,Esteban,Esteban,Esteban,Esteban,,,,,"University Of California (Los Angeles, CA)",,,,,,,,,,Esteban
722,,Manuel García,,,,Emigdio,Emigdio,Emigdio,Emigdio,Emigdio,,,,,Iglesia san Pedro Apóstol (Occoruro),,,,,,,,,,Emigdio
723,,Manuel Gómez,,,,Eustoquio,Eustoquio,Eustoquio,Eustoquio,Eustoquio,,,,,Library of Congress (Washington),,,,,,,,,,Eustoquio
724,Dionisio Pérez Manrique de Lara,Manuel Marimón,,,,Felipe de Jesús,Felipe de Jesús,Felipe de Jesús,Felipe de Jesús,Felipe de Jesús,,,,,Iglesia y convento san Francisco (Cochabamba),,,,,,,,,,Felipe de Jesús
725,Zacarías (profeta),Manuel Martínez Zaldúa,,,,Gelasio,Gelasio,Gelasio,Gelasio,Gelasio,,,,,"Convento dominicas Virgen del Rosario (Tudela, Esp)",,,,,,,,,,Gelasio
726,Josué,Manuel Merchán Cano,,Cuchillo / daga  ,,Juan el Bautista,Juan el Bautista,Juan el Bautista,Juan el Bautista,Juan el Bautista,,,,,Iglesia san Juan Bautista (Colcha),,,,,,,,,,Juan el Bautista
727,,,,,,Justo y pastor,Justo y pastor,Justo y pastor,Justo y pastor,Justo y pastor,,,,,Iglesia Inmaculada Concepción (Omacha),,,,,,,,,,Justo y pastor
728,,Manuel Palacios,,Campana,,Laureano,Laureano,Laureano,Laureano,Laureano,,,,,Instituto Riva-Agüero (Lima),,,,,,,,,,Laureano
729,,Manuel Paz,,,,Lorenzo,Lorenzo,Lorenzo,Lorenzo,Lorenzo,,,,,Convento Santa Teresa de Jesús (Lima),,,,,,,,,,Lorenzo
730,Ruth,Manuel Ramírez,,,,Sebastián,Sebastián,Sebastián,Sebastián,Sebastián,,,,,Iglesia y convento carmelita santa Teresa de Jesús (Cuzco),,,,,,,,,,Sebastián
731,Esther,,,,,Martirologio masculino antiguo,Martirologio masculino antiguo,Martirologio masculino antiguo,Martirologio masculino antiguo,Martirologio masculino antiguo,,,,,Iglesia san Juan de Papris (Mosocllacta),,,,,,,,,,Martirologio masculino antiguo
732,Jael y Císara,Manuel Serrano,,,,Fermín,Fermín,Fermín,Fermín,Fermín,,,,,Pinacoteca del Ateneo Fuente (Saltillo),,,,,,,,,,Fermín
733,,Manuel Talavera,,,,Jorge,Jorge,Jorge,Jorge,Jorge,,,,,Iglesia de Santa Bárbara Tlacatempan (Cuautitlán),,,,,,,,,,Jorge
734,,Manuel Thadeo Chirino,,,,Hipólito,Hipólito,Hipólito,Hipólito,Hipólito,,,,,Catedral Santiago el Mayor (Guatemala),,,,,,,,,,Hipólito
735,,Manuel Villa,,Cuerda / soga  (atadura),,Santos de órdenes y tradiciones,Santos de órdenes y tradiciones,Santos de órdenes y tradiciones,Santos de órdenes y tradiciones,Santos de órdenes y tradiciones,,,,,Iglesia Inmaculada Concepción (Anta),,,,,,,,,,Santos de órdenes y tradiciones
736,,Manuel Villavicencio,,Arpón,,Santos varios dominicos,Santos varios dominicos,Santos varios dominicos,Santos varios dominicos,Santos varios dominicos,,,,,Iglesia la Virgen Asunta (Cusipata),,,,,,,,,,Santos varios dominicos
737,Heliodoro,,,,,Ángelo,Ángelo,Ángelo,Ángelo,Ángelo,,,,,"Colección Leonor Velarde Ortiz de Zeballos (Lima, Perú)",,,,,,,,,,Ángelo
738,,Marcelo Espinoza,,Educación,,Benito,Benito,Benito,Benito,Benito,,,,,Capilla y Casa de ejercicios de la Tercera Orden Franciscana (Lima),,,,,,,,,,Benito
739,,Marcos Chillitupa Chávez,,,,Bruno,Bruno,Bruno,Bruno,Bruno,,,,,Obispado de Tlaxcala (Tlaxcala),,,,,,,,,,Bruno
740,,Marcos de Ribera,,,,Juan de Matta y Félix de Valois,Juan de Matta y Félix de Valois,Juan de Matta y Félix de Valois,Juan de Matta y Félix de Valois,Juan de Matta y Félix de Valois,,,,,Iglesia santa Isabel de Xiloxoxtla (Tlaxcala),,,,,,,,,,Juan de Matta y Félix de Valois
741,Josafat,Marcos Serrano,,,,Bernardo de Claraval,Bernardo de Claraval,Bernardo de Claraval,Bernardo de Claraval,Bernardo de Claraval,,,,,Convento san Juan Bautista (Tlayacapan),,,,,,,,,,Bernardo de Claraval
742,Sedecías,,,Juego ,,Camilo de Lelis,Camilo de Lelis,Camilo de Lelis,Camilo de Lelis,Camilo de Lelis,,,,,Museo dominico Fray Pedro Bedón (Quito),,,,,,,,,,Camilo de Lelis
743,,María de Jesús Ponce,,,,Cayetano,Cayetano,Cayetano,Cayetano,Cayetano,,,,,Igreja Santa Efigênia (Ouro Preto),,,,,,,,,,Cayetano
744,,Mariano Carrillo,,,,Domingo,Domingo,Domingo,Domingo,Domingo,,,,,Museo Colonial (Bogotá),,,,,,,,,,Domingo
745,Manasses,Mariano y Julián Carrillo y Jayo,,Discapacitado,,Domingo y Francisco,Domingo y Francisco,Domingo y Francisco,Domingo y Francisco,Domingo y Francisco,,,,,Iglesia Inmaculada concepción de Ninabamba (Acomayo),,,,,,,,,,Domingo y Francisco
746,Josías,Mariano Corvacho,,Uniforme militar,,Felipe Neri,Felipe Neri,Felipe Neri,Felipe Neri,Felipe Neri,,,,,Iglesia san Agustin (Pomacanchi),,,,,,,,,,Felipe Neri
747,,Mariano Guerrero,,,,Francisco de Asís,Francisco de Asís,Francisco de Asís,Francisco de Asís,Francisco de Asís,,,,,"Colección Álex Ciurlizza (Lima, Perú)",,,,,,,,,,Francisco de Asís
748,,Mariano Morlette,,Noche,,Apariciones y visiones Francisco,Apariciones y visiones Francisco,Apariciones y visiones Francisco,Apariciones y visiones Francisco,Apariciones y visiones Francisco,,,,,Catedral Metropolitana de San Sebastián (Cochabamba),,,,,,,,,,Apariciones y visiones Francisco
749,,Mariano Peña y Herrera,,Látigo,,Estigmas de Francisco,Estigmas de Francisco,Estigmas de Francisco,Estigmas de Francisco,Estigmas de Francisco,,,,,Convento santa Teresa (Córdoba),,,,,,,,,,Estigmas de Francisco
750,,Mariano Salvador Maella,,Cojín,,Escenas vida Francisco Asís,Escenas vida Francisco Asís,Escenas vida Francisco Asís,Escenas vida Francisco Asís,Escenas vida Francisco Asís,,,,,Iglesia Virgen Asunta (Limatambo),,,,,,,,,,Escenas vida Francisco Asís
751,Sansón,Mariano Vásquez A.,,,,Muerte y milagros de Francisco,Muerte y milagros de Francisco,Muerte y milagros de Francisco,Muerte y milagros de Francisco,Muerte y milagros de Francisco,,,,,Iglesia san Juan Bautista (Coya),,,,,,,,,,Muerte y milagros de Francisco
752,Dalila,Martín de Loayza,,,,Rostro y atributos de Francisco,Rostro y atributos de Francisco,Rostro y atributos de Francisco,Rostro y atributos de Francisco,Rostro y atributos de Francisco,,,,,Iglesia santa Teresa (CdMx),,,,,,,,,,Rostro y atributos de Francisco
753,,Martín de Petris,,,,Series franciscanas,Series franciscanas,Series franciscanas,Series franciscanas,Series franciscanas,,,,,Szepmuveszeti Museum (Museo de Bellas Artes de Budapest),,,,,,,,,,Series franciscanas
754,,Martín de Vos,,Perla,,Tomas Aquino retrato atributo,Tomas Aquino retrato atributo,Tomas Aquino retrato atributo,Tomas Aquino retrato atributo,Tomas Aquino retrato atributo,,,,,Iglesia Virgen de Belén (Calca),,,,,,,,,,Tomas Aquino retrato atributo
755,,Mary Jane Simes,,,,Tomas Aquino vida,Tomas Aquino vida,Tomas Aquino vida,Tomas Aquino vida,Tomas Aquino vida,,,,,"Colección Armand Hammer (Los Angeles, Estados Unidos)",,,,,,,,,,Tomas Aquino vida
756,,Mary Roberts,,Ardilla,,Obispos Cristiandad Temprana,Obispos Cristiandad Temprana,Obispos Cristiandad Temprana,Obispos Cristiandad Temprana,Obispos Cristiandad Temprana,,,,,Universidad de Puerto Rico (San Juan),,,,,,,,,,Obispos Cristiandad Temprana
757,,Mateo Gómez,,Vendas,,Eloy Obispo,Eloy Obispo,Eloy Obispo,Eloy Obispo,Eloy Obispo,,,,,Iglesia san Esteban Mártir (Yaurisque),,,,,,,,,,Eloy Obispo
758,,Mateo Mexia,,,,Idelfonso Obispo,Idelfonso Obispo,Idelfonso Obispo,Idelfonso Obispo,Idelfonso Obispo,,,,,"Museo de las Culturas de Oaxaca (Ex Convento de Santo Domingo de Guzmán, Oaxaca)",,,,,,,,,,Idelfonso Obispo
759,,,,Escoba,,Francisco de Paula,Francisco de Paula,Francisco de Paula,Francisco de Paula,Francisco de Paula,,,,,Iglesia Nuestra señora de Chanka (Challabamba),,,,,,,,,,Francisco de Paula
760,,Mateo Pérez de Alesio,,Mascota,,Ignacio de Loyola,Ignacio de Loyola,Ignacio de Loyola,Ignacio de Loyola,Ignacio de Loyola,,,,,"Ministerio de Cultura del Perú (antes Instituto Nacional de Cultura, Lima)",,,,,,,,,,Ignacio de Loyola
761,,Mateo Pizarro,,,,Atributos de Loyola,Atributos de Loyola,Atributos de Loyola,Atributos de Loyola,Atributos de Loyola,,,,,"Museo de Arte de Ponce (Ponce, Puerto Rico)",,,,,,,,,,Atributos de Loyola
762,,Mateo Pumaqawa,,,,Series ignacianas,Series ignacianas,Series ignacianas,Series ignacianas,Series ignacianas,,,,,Iglesia san Juan Bautista (Qatqa),,,,,,,,,,Series ignacianas
763,,Mateo Saldaña,,Pedestal,,Escenas ignacianas,Escenas ignacianas,Escenas ignacianas,Escenas ignacianas,Escenas ignacianas,,,,,Museo de Arte de Puerto Rico (San Juan),,,,,,,,,,Escenas ignacianas
764,,Matheo Moreno,,Fresas,,Visiones y milagros ignacianos,Visiones y milagros ignacianos,Visiones y milagros ignacianos,Visiones y milagros ignacianos,Visiones y milagros ignacianos,,,,,Colección Miriam Ramos de Ward (Estados Unidos),,,,,,,,,,Visiones y milagros ignacianos
765,,Mather Brown,,Tetera,,Juan de Dios,Juan de Dios,Juan de Dios,Juan de Dios,Juan de Dios,,,,,Capilla Virgen purificada de Canincunca (Huaro),,,,,,,,,,Juan de Dios
766,,Michael de Cajas,,Sofá,,Pedro Nolasco,Pedro Nolasco,Pedro Nolasco,Pedro Nolasco,Pedro Nolasco,,,,,"Colección Margara Garza (CdMx, México)",,,,,,,,,,Pedro Nolasco
767,,,,Cuna,,Romualdo,Romualdo,Romualdo,Romualdo,Romualdo,,,,,Colección Lisbeth y August Uribe (Estados Unidos),,,,,,,,,,Romualdo
768,,,Instrumentos de cartografía,,,Monguí,Monguí,Monguí,Monguí,Monguí,,,,,Iglesia Virgen del Carmen (Surimana),,,,,,,,,,Monguí
769,,,,,,Virgen de la Merced y Niño,Virgen de la Merced y Niño,Virgen de la Merced y Niño,Virgen de la Merced y Niño,Virgen de la Merced y Niño,,,,,Iglesia san Juan Bautista (Huayllabamba),,,,,,,,,,Virgen de la Merced y Niño
770,,Matthew Harris Jouett,Mártir / martirio ,Ermitaño,,Mercedes santos y donantes,Mercedes santos y donantes,Mercedes santos y donantes,Mercedes santos y donantes,Mercedes santos y donantes,,,,,Iglesia Francisco de Asís (Maras),,,,,,,,,,Mercedes santos y donantes
771,,Matthew Pratt,,,,Patrocinio mercedes,Patrocinio mercedes,Patrocinio mercedes,Patrocinio mercedes,Patrocinio mercedes,,,,,Simois Gestión de Arte (Madrid),,,,,,,,,,Patrocinio mercedes
772,,Mauricio García,,,,Fulgencio de Ruspe,Fulgencio de Ruspe,Fulgencio de Ruspe,Fulgencio de Ruspe,Fulgencio de Ruspe,,,,,Igreja Matriz de Santo Antônio (Tiradentes),,,,,,,,,,Fulgencio de Ruspe
773,,Melchor Pérez de Holguín,,Paleta,,Isidoro,Isidoro,Isidoro,Isidoro,Isidoro,,,,,Iglesia Santuario Santa Cruz de los milagros (Corrientes),,,,,,,,,,Isidoro
774,, Mercado,Fuente / pila ,,,Santos Franciscanos,Santos Franciscanos,Santos Franciscanos,Santos Franciscanos,Santos Franciscanos,,,,,Igreja matriz de Santo Antônio (Itaverava),,,,,,,,,,Santos Franciscanos
775,,Mercedes Ogazón,,Bonete,,Antonio de Padua,Antonio de Padua,Antonio de Padua,Antonio de Padua,Antonio de Padua,,,,,Museo Casa de Murillo (La Paz),,,,,,,,,,Antonio de Padua
776,,Michele Felice Cornè,,,,Nicolás de Bari,Nicolás de Bari,Nicolás de Bari,Nicolás de Bari,Nicolás de Bari,,,,,Colección Robert Morris (Estados Unidos),,,,,,,,,,Nicolás de Bari
777,,Miguel Antonio Martínez de Pocasangre,,,,Liborio,Liborio,Liborio,Liborio,Liborio,,,,,"Museo Nacional de Antropología (antes Museo Nacional de Etnología, Madrid)",,,,,,,,,,Liborio
778,,Miguel Arellano,,,,Martín Tours,Martín Tours,Martín Tours,Martín Tours,Martín Tours,,,,,Igleja san Francisco - Convento Santo Antônio (João Pessoa),,,,,,,,,,Martín Tours
779,,Miguel Aucell,Sacerdote,,,Santos Agustínos,Santos Agustínos,Santos Agustínos,Santos Agustínos,Santos Agustínos,,,,,Convento Santo Antônio (Igaraçu),,,,,,,,,,Santos Agustínos
780,,Miguel Cabrera,Instrumento de martirio ,Candelabro,,Juan de Sahagun,Juan de Sahagun,Juan de Sahagun,Juan de Sahagun,Juan de Sahagun,,,,,Monastery Carmelite Discalced Nuns of Colorado (Littleton),,,,,,,,,,Juan de Sahagun
781,,Miguel Correa,,,,Vida y mística de Rosa de Lima,Vida y mística de Rosa de Lima,Vida y mística de Rosa de Lima,Vida y mística de Rosa de Lima,Vida y mística de Rosa de Lima,,,,,Basílica menor de Nuestra Señora de las Nieves (Firavitova),,,,,,,,,,Vida y mística de Rosa de Lima
782,,Miguel de Herrera,,,,Ezequías,Ezequías,Ezequías,Ezequías,Ezequías,,,,,"Iglesia de Belén (Santiago, Cuzco)",,,,,,,,,,Ezequías
783,,Miguel de Mendoza,,,,Macana,Macana,Macana,Macana,Macana,,,,,Catedral san Pedro (Riobamba),,,,,,,,,,Macana
