id,Info_categorias,Autores,Simbolos,Descriptores,Gesto Lista,Categoria 1,Categoria 2,Categoria 3,Categoria 4,Categoria 5,Ciudad Origen,Ciudad Actual,Pais Origen,Pais Actual,Ubicacion,Relato_visual_lista,Fuente Imagen,Tecnica,Donante,Escenario,Cartela Filacteria,Fuente Iconografica,Biografia,Tipo Historia,Categoria 6
1007,,Antônio Simões Ribeiro,,,,Historias de José (Antiguo testamento),Historias de José (Antiguo testamento),Historias de José (Antiguo testamento),Historias de José (Antiguo testamento),Historias de José (Antiguo testamento),,,,,"Misión la soledad (Soledad, California)",,,,,,,,,,Historias de José (Antiguo testamento)
1008,,José Luis Rodríguez Alconedo,,,,Josafat,Josafat,Josafat,Josafat,Josafat,,,,,"Misión san Juan Bautista (San Juan Bautista, California)",,,,,,,,,,Josafat
1009,,,,,,Relatos con santos y advocaciones,Relatos con santos y advocaciones,Relatos con santos y advocaciones,Relatos con santos y advocaciones,Relatos con santos y advocaciones,,,,,Museo casa de la Zacatecana (Querétaro),,,,,,,,,,Relatos con santos y advocaciones
1010,,Padre Manuel El Jesuita,,,,,,,,,,,,,Museo regional de historia de Aguascalientes (Aguascalientes),,,,,,,,,,
1011,,Leandro Joaquín,,,,,,,,,,,,,Iglesia Nuestra señora de los Dolores de Xaltocán (CdMx),,,,,,,,,,
1012,"Mónica, santa ",Vicente Pérez,,,,,,,,,,,,,Iglesia de la Soledad (Tzintzunzan),,,,,,,,,,
1013,,Bernabé de Ayala,,,,,,,,,,,,,Iglesia Señor de los Trabajos (Puebla),,,,,,,,,,
1014,,Matías de Arteaga,,,,,,,,,,,,,Iglesia el Calvario (Tehuacán),,,,,,,,,,
1015,,Manuel Oquendo,,,,,,,,,,,,,Colección Diego Monroy (CdMx),,,,,,,,,,
1016,"Pulqueria de Constantinopla, Santa ",Julián Jayo,,,,,,,,,,,,,Casa museo Quinta de Bolivar (Bogotá),,,,,,,,,,
1017,,Matías Maestro,,,,,,,,,,,,,Capilla de la Expiración (Tulancingo),,,,,,,,,,
1018,Ánimas del Purgatorio,José  Mendoza,,,,,,,,,,,,,Capilla del Sagrario (Chiautempan),,,,,,,,,,
1019,,José Hilario  Zapata,,,,,,,,,,,,,Convento santa Rosa (Arequipa),,,,,,,,,,
1020,,José Joaquín del  Pozo,,,,,,,,,,,,,"Colección Arnold Zingg (Caracas, Venezuela)",,,,,,,,,,
1021,Leviatán,Marcelino Falcón de Aguilar,,,,,,,,,,,,,Iglesia santa Maria de la Asunción (Acajete),,,,,,,,,,
1022,,Gregorio Sánchez,,,,,,,,,,,,,Iglesia Nuestra Señora de Altagracia (Quíbor),,,,,,,,,,
1023,,Nicolás de  Oliva,,,,,,,,,,,,,Iglesia Santiago Apóstol (Yucay),,,,,,,,,,
