id,Lugar,latitud,longitud,,
184,"Colección Andrés Blaisten (CdMx, México)",19.4500432,-99.136838,,
806,"Colección Ángel Cristóbal (CdMx, México)",19.4255567,-99.1662609,,
1467,"Colección Ángela Gutiérrez (São Paulo, Brasil)",-23.5504542,-46.63342267,,
1141,"Colección Anita Fernandini de Naranjo (Lima, Perú)",-12.04570476,-77.03051898,,
498,"Colección Antonio Escandón (CdMx, México)",19.43272357,-99.1332305,,
755,"Colección Armand Hammer (Los Angeles, Estados Unidos)",34.05572606,-118.2458167,,
2166,"Colección Armando Andrade (Lima, Perú)",-12.04570476,-77.03051898,,
1020,"Colección Arnold Zingg (Caracas, Venezuela)",10.48974971,-66.88532084,,
1817,Colección Arquidiócesis de Bogotá (Bogotá),4.597317,-74.0747542,,
1927,Colección Arquidiócesis de Popayán (Popayán),2.441902698,-76.60689901,,
473,Colección Arquidiócesis Jesús González Baquero (México),19.43272357,-99.1332305,,
1610,"Colección Arroyo (Caracas, Venezuela)",10.48974971,-66.88532084,,
1671,"Colección ASF en Museo Internacional de las Artes Folkloricas (Santa Fe, EUA)",35.68790137,-105.9384604,,
936,"Colección B. Pareja (Lima, Perú)",-12.04570476,-77.03051898,,
269,Colección Banco Central de Reserva (Arequipa),-16.4004218,-71.538187,,
1929,Colección Banco Central de Reserva (Lima),-12.0480686,-77.0300963,,
434,Colección Barbachano Ponce (CdMx),19.43272357,-99.1332305,,
1409,"Colección Barbara John Duncan (Blanton Museum of Art, Austin)",30.2808109,-97.7376838,,
491,"Colección Barbosa-Stern (Lima, Perú)",-12.04570476,-77.03051898,,
865,"Colección BBVA (Lima, Perú)",-12.04570476,-77.03051898,,
695,"Colección BBVA (Potosí, Bolivia)",-19.58911697,-65.75358444,,
897,Colección Belaunde Moreyra (Lima. Perú),-12.04570476,-77.03051898,,
632,"Colección Belén Pérez (Caracas, Venezuela)",10.48974971,-66.88532084,,
1753,Colección BID (Washington),38.89011119,-77.03566468,,
690,"Colección Bill Morgenstern (Miami, Estados Unidos)",25.77424156,-80.18653583,,
1208,Colección Bodo Wuth (Ecuador),-0.2201103676,-78.51212139,,
1206,Colección Buch Molina (CdMx),19.43272357,-99.1332305,,
1680,Colección C. Espinosa (Perú),-12.04570476,-77.03051898,,
1074,Colección C. Larco (Perú),-12.04570476,-77.03051898,,
2014,"Colección Camacho Lloreda (Cali, Colombia)",3.452076943,-76.53249885,,
1199,Colección Camilo Andrés Moreno Bogoya (Colombia),4.59817914,-74.07601801,,
481,"Colección Campos (Lima, Perú)",-12.04570476,-77.03051898,,
629,"Colección Carlos Duarte (Caracas, Venezuela)",10.48974971,-66.88532084,,
1510,"Colección Carlos Hoss (Buenos Aires, Argentina)",-34.60774838,-58.37243334,,
1033,Colección Carlos Manuel Larrea (Quito),-0.2201103676,-78.51212139,,
646,"Colección Carlos Manuel Moller (Caracas, Venezuela)",10.48974971,-66.88532084,,
812,Colección Carlos Pardo (Bogotá),4.59817914,-74.07601801,,
1684,"Colección Carlos Pérez Mibelli (Caracas, Venezuela)",10.48974971,-66.88532084,,
2013,Colección Carlos Valencia (Popayán),2.442202882,-76.60616903,,
1689,"Colección Carmen Azpúrua de Pulido (Caracas, Venezuela)",10.48974971,-66.88532084,,
465,"Colección Carmen Pérez Salazar (CdMx, México)",19.43272357,-99.1332305,,
560,"Colección Casa de Aliaga (Lima, Perú)",-12.0441295,-77.0304385,,
821,"Colección Celso Pastor (Lima, Perú)",-12.04570476,-77.03051898,,
1201,Colección Christopher Hill (Estados Unidos),38.89011119,-77.03566468,,
18,"Colección Cisneros (Caracas, Venezuela)",10.48974971,-66.88532084,,
706,"Colección Claudia Abad del Muro (Oaxaca, México)",17.06106598,-96.72532631,,
458,"Colección Concepción Obregon (CdMx, México)",19.43272357,-99.1332305,,
1579,Colección Costa (Bolivia),-16.49568881,-68.13349956,,
1691,"Colección Cristina Santaella de Sequeira (Caracas, Venezuela)",10.48974971,-66.88532084,,
1036,Colección Cruz de Perón (Ecuador),-0.2201103676,-78.51212139,,
2148,Colección Cutis Lee (Estados Unidos),38.89011119,-77.03566468,,
91,"Colección Daniel Liebsohn (CdMx, México)",19.43272357,-99.1332305,,
275,"Colección Dañino-Beck (Lima, Perú)",-12.04570476,-77.03051898,,
633,"Colección Darío Márquez Iragorri (Caracas, Venezuela)",10.48974971,-66.88532084,,
1078,Colección de Carl & Marilynn Thoma (Estados Unidos),38.89011119,-77.03566468,,
1067,Colección de Charles Tremoulet (Estados Unidos),38.89011119,-77.03566468,,
1085,Colección de Dr. Martin D. Claiborne III,38.89011119,-77.03566468,,
1090,Colección de Gustave Pitot (Estados Unidos),38.89011119,-77.03566468,,
1887,"Colección De Narváez (Bogotá, Colombia)",4.59817914,-74.07601801,,
1096,Colección de Peter W. Pato (Estados Unidos),38.89011119,-77.03566468,,
1094,Colección de Roger Ogden (Estados Unidos),38.89011119,-77.03566468,,
1093,Colección de Trentiss Christian Patrick (Estados Unidos),38.89011119,-77.03566468,,
1106,Colección de William Dunbar Dicks (Estados Unidos),38.89011119,-77.03566468,,
1015,Colección Diego Monroy (CdMx),19.43272357,-99.1332305,,
1770,"Colección Domingo Santa María (Buenos Aires, Argentina)",-34.60774838,-58.37243334,,
1670,Colección Don y Billie Jenkins (Estados Unidos),38.89011119,-77.03566468,,
1895,"Colección Eder (Cali, Colombia)",3.452076943,-76.53249885,,
382,"Colección Eduardo López (Caracas, Venezuela)",10.48974971,-66.88532084,,
1771,"Colección Elisa Peña (Buenos Aires, Argentina)",-34.60774838,-58.37243334,,
398,"Colección Elizabeth Waldo (CdMx, México)",19.43272357,-99.1332305,,
645,"Colección Eloy Pérez (Caracas, Venezuela)",10.48974971,-66.88532084,,
554,Colección Embajada de Bolivia en Lima (Perú),-12.0938201,-77.0507026,,
1949,Colección Emilia Ochoa (Colombia),4.59817914,-74.07601801,,
1677,Colección Engracia F. Dougherly (Perú),-12.04570476,-77.03051898,,
915,"Colección Enrico Poli (Lima, Perú)",-12.1104367,-77.0413513,,
464,Colección Enrique Corcuera (CdMx. México),19.43272357,-99.1332305,,
640,"Colección Enrique Rohl (Caracas, Venezuela)",10.48974971,-66.88532084,,
324,Iglesia san Juan Bautista de Mexicaltzingo (Guadalajara),20.66609699,-103.3507712,,
1880,"Colección Escobar Gómez (Bogotá, Colombia)",4.59817914,-74.07601801,,
1675,"Colección Estrella Font de Cossío (Lima, Perú)",-12.04570476,-77.03051898,,
2159,"Colección Evans (Denver, Estados Unidos)",39.74031471,-104.9903433,,
1202,Colección Evelin Klussman (Guatemala),14.64185526,-90.51365456,,
463,"Colección familia Braniff (CdMx, México)",19.43272357,-99.1332305,,
2181,"Colección familia Tayloe (Virginia, Estados Unidos)",37.972222,-76.791389,,
1143,"Colección Federico Kauffmann (Lima, Perú)",-12.04570476,-77.03051898,,
809,"Colección Fernando Fernández de la Cavada (Santo Domingo, República Dominicana)",18.47386444,-69.88393563,,
1760,Colección Fernando Ovalle (Santiago),-33.43761142,-70.65047281,,
991,Colección Fernando Vázquez (Guadalajara),20.67609198,-103.3469507,,
1190,Colección Filoteo Samaniego Salazar (Quito),-0.2201103676,-78.51212139,,
564,"Colección Francisca Carrillo (Lima, Perú)",-12.04570476,-77.03051898,,
801,"Colección Francisco J. Ysita del Hoyo (CdMx, México)",19.43272357,-99.1332305,,
631,"Colección Francisco Narváez (Caracas, Venezuela)",10.48974971,-66.88532084,,
1242,"Colección Francisco Stastny (Lima, Perú)",-12.04570476,-77.03051898,,
250,Colección Francisco Yábar (Lima. Perú),-12.04570476,-77.03051898,,
462,"Colección Francisco Zaldivar (CdMx, México)",19.43272357,-99.1332305,,
1146,Colección Frank Barrow Freyer (Estados Unidos),38.89011119,-77.03566468,,
613,Colección Frederick y Jan Mayer - Denver Museum (Denver),39.73728676,-104.9893773,,
1685,"Colección Fundación John Boulton (Caracas,Venezuela)",10.48974971,-66.88532084,,
1469,"Colección Furt (Buenos Aires, Argentina)",-34.60774838,-58.37243334,,
800,"Colección G. Díaz (CdMx, México)",19.43272357,-99.1332305,,
1513,"Colección Gabriela de Ezcurra (Buenos Aires, Argentina)",-34.60774838,-58.37243334,,
